Wind power [kW];Nuclear power plant [kW];Demand [kWh];Total power supply [Kw];Supply - Demand;;;;;
3090,71;1080645,16;1189556;1083735,87;-105820,13;;;;;
3157,339;1080645,16;1159348;1083802,499;-75545,501;;;;;
3179,986;1080645,16;1122436;1083825,146;-38610,854;;;;;
3179,573;1080645,16;1085579;1083824,733;-1754,267;;;;;
3180,277;1080645,16;1068095;1083825,437;15730,437;;;;;
3179,081;1080645,16;1067971;1083824,241;15853,241;;;;;
3159,784;1080645,16;1085979;1083804,944;-2174,056;;;;;
3134,28;1080645,16;1115220;1083779,44;-31440,56;;;;;
3085,061;1080645,16;1149064;1083730,221;-65333,779;;;;;
3063,732;1080645,16;1200643;1083708,892;-116934,108;;;;;
3030,814;1080645,16;1274637;1083675,974;-190961,026;;;;;
2973,648;1080645,16;1338959;1083618,808;-255340,192;;;;;
2958,798;1080645,16;1366465;1083603,958;-282861,042;;;;;
2930,189;1080645,16;1376842;1083575,349;-293266,651;;;;;
2899,03;1080645,16;1399458;1083544,19;-315913,81;;;;;
2846,979;1080645,16;1459296;1083492,139;-375803,861;;;;;
2819,072;1080645,16;1559440;1083464,232;-475975,768;;;;;
2874,14;1080645,16;1608393;1083519,3;-524873,7;;;;;
2950,923;1080645,16;1598279;1083596,083;-514682,917;;;;;
3015,325;1080645,16;1543756;1083660,485;-460095,515;;;;;
3067,833;1080645,16;1478264;1083712,993;-394551,007;;;;;
3144,507;1080645,16;1412484;1083789,667;-328694,333;;;;;
3182,001;1080645,16;1338286;1083827,161;-254458,839;;;;;
3168,42;1080645,16;1255989;1083813,58;-172175,42;;;;;
3153,992;1338709,68;1177340;1341863,672;164523,672;;;;;
3172,99;1338709,68;1121261;1341882,67;220621,67;;;;;
3120,065;1338709,68;1086684;1341829,745;255145,745;;;;;
3052,788;1338709,68;1060500;1341762,468;281262,468;;;;;
3062,032;1338709,68;1047498;1341771,712;294273,712;;;;;
3071,951;1338709,68;1048027;1341781,631;293754,631;;;;;
3098,048;1338709,68;1064037;1341807,728;277770,728;;;;;
3116,967;1338709,68;1097695;1341826,647;244131,647;;;;;
3147,297;1338709,68;1151627;1341856,977;190229,977;;;;;
3150,695;1338709,68;1214772;1341860,375;127088,375;;;;;
3154,84;1338709,68;1282274;1341864,52;59590,52;;;;;
3167,37;1338709,68;1336217;1341877,05;5660,05;;;;;
3174,49;1338709,68;1363547;1341884,17;-21662,83;;;;;
3182,812;1338709,68;1363043;1341892,492;-21150,508;;;;;
3179,143;1338709,68;1367003;1341888,823;-25114,177;;;;;
3146,287;1338709,68;1411187;1341855,967;-69331,033;;;;;
